Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
Brenden Aaronson,Philadelphia Union,22,Midfielder,Medford,New Jersey,United States of America,20,"5' 10""",148
Saad Abdul-Salaam,FC Cincinnati,12,Defender,Gahanna,Ohio,United States of America,29,"6' 4""",185
Mohammed Abu,D.C. United,25,Midfielder,Namasi,,Ghana,29,"5' 7""",150
Lalas Abubakar,Colorado Rapids,6,Defender,Accra,,Ghana,25,"6' 1""",185
David Accam,Nashville SC,11,Forward,,,,30,"5' 9""",154
Nicolas Acevedo,New York City FC,26,Midfielder,Montevideo,,Uruguay,21,"5' 8""",160
Achara,Toronto FC,99,Midfielder,Enugu,,Nigeria,23,"5' 10""",161
Danilo Acosta,LA Galaxy,24,Defender,Sandy,Utah,United States of America,23,"5' 11""",170
George Acosta,Inter Miami CF,30,Midfielder,,,,20,"5' 7""",130
Kellyn Acosta,Colorado Rapids,10,Midfielder,Plano,Texas,United States of America,25,"5' 10""",150
Bryan Acosta,FC Dallas,8,Midfielder,La Ceiba,,Honduras,27,"5' 8""",161
Mo Adams,Atlanta United FC,29,Midfielder,Nottingham,,England,24,"5' 6""",165
Kyle Adams,Houston Dynamo FC,32,Defender,Aukland,,New Zealand,24,"6' 2""",180
Fanendo Adi,Columbus Crew SC,9,Forward,Lagos,,Nigeria,30,"6' 4""",185
Ali Adnan,Vancouver Whitecaps FC,53,Defender,Baghdad,,Iraq,26,"6' 1""",180
Harrison Afful,Columbus Crew SC,25,Defender,Senya Breku,,Ghana,34,"5' 6""",128
Juan Agudelo,Inter Miami CF,12,Forward,,,,28,"6' 1""",183
Matheus Aias,Orlando City SC,99,Forward,Palmares Paulista,,Brazil,23,"5' 9""",
Jose Aja,Minnesota United FC,4,Defender,,,,27,"6' 4""",185
Jacob Akanyirige,San Jose Earthquakes,29,Defender,Pleasanton,California,United States of America,18,"5' 11""",157
Tesho Akindele,Orlando City SC,13,Forward,Thornton,Colorado,United States of America,28,"6' 1""",170
Ayo Akinola,Toronto FC,20,Forward,Brampton,Ontario,Canada,20,"5' 10""",182
Oswaldo Alanis,San Jose Earthquakes,4,Defender,Morelia,,Mexico,31,"6' 1""",180
Fatai Alashe,Columbus Crew SC,26,Midfielder,Northville,Michigan,United States of America,27,"6' 0""",170
Ignacio Aliseda,Chicago Fire FC,7,Midfielder,Buenos Aires,,Argentina,20,"5' 7""",152
Nani,Orlando City SC,17,Midfielder,Amadora,,Portugal,34,"5' 10""",146
Osvaldo Alonso,Minnesota United FC,6,Midfielder,San Cristobal,,Cuba,35,"5' 11""",165
Jozy Altidore,Toronto FC,17,Forward,Boca Raton,Florida,United States of America,31,"6' 0""",175
Alexander Alvarado,Orlando City SC,,Forward,Quevedo,,Ecuador,21,"5' 5""",
Efrain Alvarez,LA Galaxy,26,Midfielder,,,,18,"5' 8""",150
Luis Amarilla,Minnesota United FC,9,Forward,Areguá,,Paraguay,25,"6' 0""",163
Frankie Amaya,FC Cincinnati,24,Midfielder,Santa Ana,California,United States of America,20,"5' 4""",145
Mikey Ambrose,Inter Miami CF,33,Defender,El Paso,Texas,United States of America,27,"5' 9""",165
Sebastian Anderson,Colorado Rapids,22,Defender,Highlands Ranch,Colorado,United States of America,18,"5' 9""",140
Isaac Angking,New England Revolution,5,Midfielder,Providence,Rhode Island,United States of America,20,"5' 10""",160
Jalil Anibaba,Nashville SC,3,Defender,Davis,California,United States of America,32,"6' 0""",185
Tah Brian Anunga,Nashville SC,27,Midfielder,Yaounde,,Cameroon,24,"5' 11""",179
Julian Araujo,LA Galaxy,22,Defender,Lompoc,California,United States of America,19,"5' 9""",154
Heber,New York City FC,9,Forward,Colorado de Oeste,,Brazil,29,"5' 11""",170
Xavier Arreaga,Seattle Sounders FC,3,Defender,Guayaquil,,Ecuador,26,"6' 0""",165
Luis Arriaga,Real Salt Lake,26,Midfielder,Santa Rosa,California,United States of America,19,"5' 7""",137
Paul Arriola,D.C. United,7,Midfielder,,,,25,"5' 6""",146
Yamil Asad,D.C. United,11,Midfielder,,,,26,"5' 10""",170
Dairon Asprilla,Portland Timbers,27,Midfielder,,,,28,"5' 11""",165
Josh Atencio,Seattle Sounders FC,84,Midfielder,Bellevue,Washington,United States of America,18,"6' 1""",174
Jeff Attinella,Portland Timbers,1,Goalkeeper,,,,32,"6' 2""",190
Francis Atuahene,FC Dallas,17,Forward,Accra,,Ghana,24,"5' 9""",170
Eduard Atuesta,Los Angeles Football Club,20,Midfielder,Velez,,Colombia,23,"5' 11""",155
Carlos Avilez,FC Dallas,40,Goalkeeper,Dallas,Texas,United States of America,21,"6' 1""",160
Dominique Badji,Nashville SC,9,Forward,,,,28,"6' 0""",170
Zico Bailey,FC Cincinnati,16,Defender,Henderson,Nevada,United States of America,20,"5' 7""",135
Theo Bair,Vancouver Whitecaps FC,14,Forward,Ottawa,Ontario,Canada,21,"6' 4""",215
Corey Baird,Real Salt Lake,10,Forward,Escondido,California,United States of America,24,"5' 10""",160
Mateo Bajamich,Houston Dynamo FC,,Forward,Morrison,,Argentina,21,"5' 10""",165
Michael Baldisimo,Vancouver Whitecaps FC,55,Midfielder,Burnaby,British Columbia,Canada,20,"5' 6""",150
Robinho,Orlando City SC,77,Midfielder,Madalena,,Brazil,25,"5' 5""",148
Ezequiel Barco,Atlanta United FC,8,Midfielder,,,,21,"5' 7""",
Tom Barlow,New York Red Bulls,74,Forward,St. Louis,Missouri,United States of America,25,"6' 2""",185
Luis Barraza,New York City FC,13,Goalkeeper,El Paso,Texas,United States of America,24,"6' 2""",195
Alvaro Barreal,FC Cincinnati,,Midfielder,Buenos Aires,,Argentina,20,"5' 8""",145
Michael Barrios,FC Dallas,21,Midfielder,Barranquilla,,Colombia,29,"5' 4""",132
Cole Bassett,Colorado Rapids,26,Midfielder,Littleton,Colorado,United States of America,19,"5' 11""",130
Clement Bayiha,Montreal Impact,27,Midfielder/Defender,Saint-Therese,Quebec,Canada,21,"5' 8""",155
Tanner Beason,San Jose Earthquakes,15,Defender,Winston-Salem,North Carolina,United States of America,23,"6' 1""",175
Brayan Beckeles,Nashville SC,55,Defender,La Ceiba,,Honduras,35,"6' 1""",176
Kyle Beckerman,Real Salt Lake,5,Midfielder,Crofton,Maryland,United States of America,38,"5' 11""",165
Alejandro Bedoya,Philadelphia Union,11,Midfielder,,,,33,"5' 10""",161
Steven Beitashour,Colorado Rapids,,Defender,,,,33,"5' 10""",170
George Bello,Atlanta United FC,21,Defender,Douglasville,Georgia,United States of America,18,"5' 5""",
Jordan Bender,Orlando City SC,33,Midfielder,Lake Mary,Florida,United States of America,19,"5' 9""",150
Joe Bendik,Philadelphia Union,12,Goalkeeper,Marietta,Georgia,United States of America,31,"6' 2""",217
Nicolas Benezet,Colorado Rapids,9,Midfielder,,,,29,"5' 5""",134
Sebastian Berhalter,Columbus Crew SC,18,Midfielder,Westerville,Ohio,United States of America,19,"5' 9""",155
Robert Beric,Chicago Fire FC,27,Forward,Krsko,,Slovenia,29,"6' 2""",183
Miguel Berry,Columbus Crew SC,27,Forward,Poway,California,United States of America,23,"6' 3""",180
Matt Bersano,San Jose Earthquakes,12,Goalkeeper,Tempe,Arizona,United States of America,28,"6' 1""",185
Nick Besler,Real Salt Lake,13,Midfielder,Overland Park,Kansas,United States of America,27,"6' 1""",165
Matt Besler,Sporting Kansas City,5,Defender,Overland Park,Kansas,United States of America,33,"6' 0""",170
Janio Bikel,Vancouver Whitecaps FC,19,Midfielder,Bissau,,Guinea-Bissau,25,"5' 9""",155
Everton Luiz,Real Salt Lake,25,Midfielder,,,,32,"5' 8""",154
Noah Billingsley,Minnesota United FC,2,Defender,Wellington,,New Zealand,23,"6' 2""",185
David Bingham,LA Galaxy,1,Goalkeeper,Pleasanton,California,United States of America,31,"6' 2""",189
Luis Binks,Montreal Impact,5,Defender,,,,19,"6' 2""",190
Steven Birnbaum,D.C. United,15,Defender,Irvine,California,United States of America,29,"6' 2""",180
Jose Bizama,Houston Dynamo FC,18,Defender,Curanilahue,,Chile,26,"5' 11""",165
Tristan Blackmon,Los Angeles Football Club,27,Defender,Las Vegas,Nevada,United States of America,24,"6' 1"""
Andre Blake,Philadelphia Union,18,Goalkeeper,May Pen,,Jamaica,30,"6' 4""",175
Sebastian Blanco,Portland Timbers,10,Midfielder,,,,32,"5' 7""",150
Latif Blessing,Los Angeles Football Club,7,Midfielder,Accra,,Ghana,23,"5' 7""",104
Emmanuel Boateng,Columbus Crew SC,20,Midfielder,Accra,,Ghana,26,"5' 6""",150
Blake Bodily,Portland Timbers,98,Midfielder,,,,22,"5' 9""",150
Isaac Boehmer,Vancouver Whitecaps FC,60,Goalkeeper,Okanagan Falls,British Columbia,Canada,19,"6' 2""",185
Pablo Bonilla,Portland Timbers,28,Defender,,,,21,"5' 8""",155
Alex Bono,Toronto FC,25,Goalkeeper,Baldwinsville,New York,United States of America,26,"6' 3""",195
Jonathan Bornstein,Chicago Fire FC,3,Defender,Los Alamitos,California,United States of America,36,"5' 8""",165
Gustavo Bou,New England Revolution,7,Forward,Concordia,,Argentina,30,"5' 10""",160
Michael Boxall,Minnesota United FC,15,Defender,Auckland,,New Zealand,32,"6' 2""",200
Michael Bradley,Toronto FC,4,Midfielder,,,,33,"6' 2""",179
Chris Brady,Chicago Fire FC,34,Goalkeeper,,,,16,"6' 3""",170
Zachary Brault-Guillard,Montreal Impact,15,Defender,Lyon,,France,21,"5' 7""",145
Bressan,FC Dallas,4,Defender,Caxias do Sul,,Brazil,27,"6' 0""",174
Frederic Brillant,D.C. United,13,Defender,Sedan,,France,35,"6' 3""",156
Brandt Bronico,Chicago Fire FC,13,Midfielder,,,High Point,25,"5' 8""",155,** flag to manually check these geos
Will Bruin,Seattle Sounders FC,17,Forward,St. Louis,Montana,United States of America,31,"6' 2""",194
Tajon Buchanan,New England Revolution,17,Forward,Brampton,Ontario,Canada,21,"6' 0""",152
Adam Buksa,New England Revolution,9,Forward,Krakow,,Poland,24,"6' 3""",170
Teal Bunbury,New England Revolution,10,Midfielder/Forward,Prior Lake,Minnesota,United States of America,30,"6' 2""",185
Nkosi Burgess,FC Dallas,28,Defender,Manhattan,New York,United States of America,23,"6' 4""",185
Cory Burke,Philadelphia Union,19,Forward,Kingston,,Jamaica,28,"6' 3""",180
Evan Bush,Vancouver Whitecaps FC,,Goalkeeper,Concord Township,Ohio,United States of America,34,"6' 1""",186
Gianluca Busio,Sporting Kansas City,27,Midfielder,Greensboro,North Carolina,United States of America,18,"5' 7""",135
Alexander Buttner,New England Revolution,28,Defender,Doetinchem,,Netherlands,31,"5' 9""",165
Handwalla Bwana,Nashville SC,,Midfielder,Seattle,Washington,United States of America,21,"5' 9""",145
Brandon Bye,New England Revolution,15,Defender,Portage,Michigan,United States of America,25,"6' 0""",185
Victor Cabrera,Houston Dynamo FC,36,Defender,Lules,,Argentina,27,"6' 0""",165
Chris Cadden,Columbus Crew SC,2,Defender,Bellshill,,Scotland,24,"6' 0""",168
Jhonder Cadiz,Nashville SC,99,Forward,Caracas,,Venezuela,25,"6' 3""",185
Luis Alberto Caicedo,New England Revolution,27,Midfielder,Apartadó,,Colombia,24,"5' 7""",155
Scott Caldwell,New England Revolution,6,Midfielder,Braintree,Massachusetts,United States of America,29,"5' 8""",150
Jeff Caldwell,New England Revolution,25,Goalkeeper,Todd,North Carolina,United States of America,24,"6' 3""",187
Drake Callender,Inter Miami CF,27,Goalkeeper,,,,23,"6' 3""",205
Alexander Callens,New York City FC,6,Defender,Callao,,Peru,28,"6' 1""",180
Eric Calvillo,San Jose Earthquakes,26,Midfielder,Palmdale,California,United States of America,22,"5' 7""",140
Francisco Calvo ,Chicago Fire FC,5,Defender,,,,28,"5' 10"""
Rudy Camacho,Montreal Impact,4,Defender,L'Arbresle,,France,29,"6' 1""",174
George Campbell,Atlanta United FC,32,Defender,Atlanta,Georgia,United States of America,19,"6' 2""",175
Russell Canouse,D.C. United,4,Midfielder,,,,25,"5' 10""",159
Andrew Carleton,Atlanta United FC,30,Forward,Powder Springs,Georgia,United States of America,20,"5' 7""",145
Julian Carranza,Inter Miami CF,21,Forward,Oncativo,,Argentina,20,"5' 9""",146
Javier Casas,Chicago Fire FC,37,Midfielder,Addison,Illinois,United States of America,17,"5' 8""",145
Julio Cascante,Portland Timbers,18,Defender,,,,27,"6' 2""",170
Cristian Casseres Jr.,New York Red Bulls,23,Midfielder,,,,20,"5' 9"""
Valentin Castellanos,New York City FC,11,Forward,,,,22,"5' 10""",154
Edgar Castillo,Atlanta United FC,19,Defender,Las Cruces,New Mexico,United States of America,34,"5' 7""",145
Manuel Castro,Atlanta United FC,15,Midfielder,,,,25,"5' 8""",
Lucas Cavallini,Vancouver Whitecaps FC,9,Forward,Mississauga,Ontario,Canada,27,"5' 10""",185
Emanuel Cecchini,Seattle Sounders FC,15,Midfielder,Ingeniero Huergo,,Argentina,23,"5' 11""",170
Darwin Ceren,Houston Dynamo FC,24,Midfielder,Quezaltepeque,,El Salvador,30,"5' 10""",165
Edwin Cerrillo,FC Dallas,33,Midfielder,Frisco,Texas,United States of America,20,"5' 10""",180
Thomas Chacon,Minnesota United FC,11,Midfielder,Palmitas,,Uruguay,20,"5' 5""",128
Maikel Chang,Real Salt Lake,16,Midfielder,Havana,,Cuba,29,"5' 10""",174
Maxime Chanot,New York City FC,4,Defender,Nancy,,Fance,31,"6' 1""",172
Jay Chapman,Inter Miami CF,14,Midfielder,Toronto,Ontario,Canada,26,"6' 0""",157
Diego Chara,Portland Timbers,21,Midfielder,Cali,,Colombia,34,"5' 8""",150
Yimmi Chara,Portland Timbers,23,Midfielder,,,,29,"5' 7""",170
Justin Che,FC Dallas,,Defender,Frisco,Texas,United States of America,17,"6' 1""",165
Mathieu Choiniere,Montreal Impact,29,Midfielder,Saint-Alexandre,Quebec,Canada,21,"5' 6""",150
Jose Cifuentes,Los Angeles Football Club,11,Midfielder,,,,21,"5' 8""",155
Laurent Ciman,Toronto FC,26,Defender,Liège,,Belgium,35,"6' 0""",155
Caden Clark,New York Red Bulls,37,Midfielder,Medina,Minnesota,United States of America,17,"5' 11""",155
Steve Clark,Portland Timbers,12,Goalkeeper,,,,34,"6' 2""",192
Stefan Cleveland,Seattle Sounders FC,30,Goalkeeper,Dayton,Ohio,United States of America,26,"6' 2""",185
CJ Cochran,Nashville SC,28,Goalkeeper,Alpharetta,Georgia,United States of America,29,"6' 4""",214
Elliot Collier,Chicago Fire FC,28,Forward,Hamilton,,New Zealand,25,"6' 4""",180
Aurelien Collin,Philadelphia Union,78,Defender,,,,34,"6' 2""",169
Josue Colman,Orlando City SC,,Midfielder,Asuncion,,Paraguay,22,"5' 6""",156
Simon Colyn,Vancouver Whitecaps FC,54,Midfielder,Langley,British Columbia,Canada,18,"5' 9""",145
Tomas Conechny,Portland Timbers,19,Midfielder,,,,22,"5' 7""",150
Derek Cornelius,Vancouver Whitecaps FC,13,Defender,Ajax,Ontario,Canada,23,"6' 2""",190
Joe Corona,LA Galaxy,14,Midfielder,,,,30,"5' 8""",155
Jorge Corrales,Montreal Impact,26,Defender,Pinar del Rio,,Cuba,29,"5' 9""",150
Cade Cowell,San Jose Earthquakes,44,Forward,Ceres,California,United States of America,17,"5' 9""",154
Warren Creavalle,Philadelphia Union,2,Midfielder,Acworth,Georgia,United States of America,30,"5' 11""",170
Maxime Crepeau,Vancouver Whitecaps FC,16,Goalkeeper,Candiac,Quebec,Canada,26,"5' 11""",199
Cody Cropper,Houston Dynamo FC,55,Goalkeeper,Maple Grove,Minnesota,United States of America,27,"6' 4""",200
Allan Cruz,FC Cincinnati,8,Midfielder,Nicoya,,Costa Rica,24,"5' 5""",145
Emil Cuello,LA Galaxy,27,Midfielder,Orem,Utah,United States of America,23,"5' 11""",165
Antonio Carlos,Orlando City SC,25,Defender,,,,27,"6' 3""",
Auro,Toronto FC,96,Defender,,,,24,"5' 6""",136
Cristian Dajome,Vancouver Whitecaps FC,11,Midfielder,Bogota,,Colombia,26,"5' 8""",155
Jurgen Damm,Atlanta United FC,22,Midfielder,,,,28,"6' 1""",148
Abu Danladi,Nashville SC,7,Forward,Takoradi,,Ghana,25,"5' 10""",170
Sean Davis,New York Red Bulls,27,Midfielder,Holmdel,New Jersey,United States of America,27,"6' 0""",165
Junior Urso,Orlando City SC,11,Midfielder,Taboão da Serra,,Brazil,31,"5' 11""",
Alex De John,Orlando City SC,3,Defender,,,,29,"6' 0"""
Artur,Columbus Crew SC,8,Midfielder,Salvador,,Brazil,24,"5' 11""",154
Jack de Vries,Philadelphia Union,14,Midfielder,Brussels,,Belgium,18,"6' 0""",165
A.J. DeLaGarza,Inter Miami CF,20,Defender,Bryans Road,Maryland,United States of America,33,"5' 9""",150
Antonio Mlinar Delamea,New England Revolution,19,Defender,Celje,,Slovenia,29,"6' 0""",160
Jordy Delem,Seattle Sounders FC,8,Midfielder,Fort-de-France,,Martinique,27,"5' 11""",156
Nick DeLeon,Toronto FC,18,Midfielder,Phoenix,Arizona,United States of America,30,"5' 10""",170
Marky Delgado,Toronto FC,8,Midfielder,,,,25,"5' 9""",146
Nick DePuy,LA Galaxy,20,Defender,Irvine,California,United States of America,26,"6' 5""",205
Joey DeZart,Orlando City SC,34,Midfielder,Jackson,New Jersey,United States of America,22,"6' 1""",195
Justin Dhillon,Seattle Sounders FC,99,Forward,Rancho Santa Margarita,California,United States of America,25,"6' 3""",185
Amadou Dia,Sporting Kansas City,13,Defender,Highlands Ranch,Colorado,United States of America,27,"5' 10""",150
Luis Diaz,Columbus Crew SC,18,Midfielder,Nicoya,,Costa Rica,21,"5' 11""",159
Bakaye Dibassy,Minnesota United FC,,Defender,Paris,,France,31,"6' 0""",
Eric Dick,Sporting Kansas City,18,Goalkeeper,Carmel,Indiana,United States of America,26,"6' 5""",205
Tanner Dieterich,Nashville SC,24,Midfielder,Nashville,Tennessee,United States of America,22,"6' 0""",170
Daryl Dike,Orlando City SC,18,Forward,Edmond,Oklahoma,United States of America,20,"6' 2""",220
Clement Diop,Montreal Impact,31,Goalkeeper,Paris,,France,27,"6' 1""",165
Ethan Dobbelaere,Seattle Sounders FC,45,Midfielder,Seattle,Washington,United States of America,18,"5' 9""",140
Griffin Dorsey,Toronto FC,19,Midfielder,Evergreen,Colorado,United States of America,21,"6' 0""",160
Jonathan dos Santos,LA Galaxy,8,Midfielder,,,,30,"5' 8""",160
Hassani Dotson,Minnesota United FC,31,Midfielder,Federal Way,Washington,United States of America,23,"5' 11""",170
Erik Dueñas,Los Angeles Football Club,18,Defender,,,,16,"5' 4""",120
Cameron Duke,Sporting Kansas City,28,Midfielder,Overland Park,Kansas,United States of America,19,"5' 7""",135
Bryce Duke,Los Angeles Football Club,19,Midfielder,,,,19,"5' 7""",145
Cameron Dunbar,LA Galaxy,60,Midfielder,Carson,California,United States of America,18,"5' 6""",130
Kyle Duncan,New York Red Bulls,6,Defender,Brooklyn,New York,United States of America,23,"5' 10""",139
Julian Dunn,Toronto FC,5,Defender,,,,20,"6' 1""",168
Chris Duvall,Portland Timbers,15,Defender,Duluth,Georgia,United States of America,29,"5' 10""",165
Dom Dwyer,Orlando City SC,14,Forward,London,,England,30,"5' 9""",180
Jeremy Ebobisse,Portland Timbers,17,Forward,,,Bethesda,23,"6' 0""",175,** flag to manually check these geos
Raheem Edwards,Minnesota United FC,44,Midfielder,Mississauga,Ontario,Canada,25,"5' 9""",148
Earl Edwards Jr.,D.C. United,36,Goalkeeper,San Diego,California,United States of America,28,"6' 3""",205
Mandela Egbo,New York Red Bulls,39,Defender,Brent,,England,23,"5' 11""",165
Phillip Ejimadu,Los Angeles Football Club,40,Goalkeeper,,,,21,"6' 2""",215
Mohamed El-Munir,Los Angeles Football Club,13,Defender,,,,28,"5' 9""",154
Jack Elliott,Philadelphia Union,3,Defender,London,,England,25,"6' 5""",180
Fred Emmings,Minnesota United FC,99,Goalkeeper,Saint Paul,Minnesota,United States of America,16,"6' 5""",210
Tsubasa Endoh,Toronto FC,31,Midfielder,,,,27,"5' 8""",146
Franco Escobar,Atlanta United FC,2,Defender,Rosario,,Argentina,25,"5' 11"""
Roger Espinoza,Sporting Kansas City,15,Midfielder,Aurora,Colorado,United States of America,34,"5' 11""",170
Cristian Espinoza,San Jose Earthquakes,10,Midfielder,Buenos Aires,,Argentina,25,"5' 7""",154
Derrick Etienne Jr.,Columbus Crew SC,22,Midfielder,Paterson,New Jersey,United States of America,24,"5' 10""",160
Gianfranco Facchineri,Vancouver Whitecaps FC,34,Defender,Windsor,Ontario,Canada,18,"6' 0""",185
Diego Fagundez,New England Revolution,14,Midfielder,,,,25,"5' 8""",140
Rod Fanni,Montreal Impact,7,Defender,,,,38,"6' 1""",179
Marco Farfan,Portland Timbers,32,Defender,,,,22,"5' 9""",150
Andrew Farrell,New England Revolution,2,Defender,Louisville,Kentucky,United States of America,28,"5' 11""",185
Luis Felipe,San Jose Earthquakes,96,Midfielder,Mineola,New York,United States of America,24,"6' 1""",165
Rolf Feltscher,LA Galaxy,25,Defender,Bülach,,Switzerland,30,"5' 11""",163
Keesean Ferdinand,Montreal Impact,33,Defender,Rivière-des-Prairies,Quebec,Canada,17,"6' 0""",159
Marcus Ferkranus,LA Galaxy,,Forward,,,,0,
Gerso Fernandes,Sporting Kansas City,12,Midfielder/Forward,Bissau,,Guinea-Bissau,29,"5' 8""",140
Omir Fernandez,New York Red Bulls,21,Midfielder,Bronx,New York,United States of America,21,"5' 9""",
Jesus Ferreira,FC Dallas,7,Forward,McKinney,Texas,United States of America,19,"5' 8""",140
Carlos Fierro,San Jose Earthquakes,21,Midfielder,Ahome,,Mexico,26,"5' 9""",146
Nicolas Figal,Inter Miami CF,5,Defender,,,,26,"5' 11""",165
Maynor Figueroa,Houston Dynamo FC,15,Defender,Jutiapa,,Honduras,37,"5' 11""",187
Ethan Finlay,Minnesota United FC,13,Midfielder,Marshfield,Wisconsin,United States of America,30,"5' 9""",165
Nicolas Firmino,New England Revolution,29,Midfielder,Somerville,Massachusetts,United States of America,19,"5' 11""",155
Oniel Fisher,D.C. United,91,Defender,Portmore,,Jamaica,29,"5' 9""",155
Andres Flores,Portland Timbers,14,Midfielder,,,,30,"5' 6""",150
Edison Flores,D.C. United,10,Midfielder,,,,26,"5' 8""",159
Anthony Fontana,Philadelphia Union,21,Midfielder,Newark,Delaware,United States of America,21,"5' 8""",150
Andreu Fontas,Sporting Kansas City,3,Defender,Banyoles,,Spain,31,"6' 1""",190
Kortne Ford,Colorado Rapids,24,Defender,Greeley,Colorado,United States of America,24,"6' 2""",185
Waylon Francis,Columbus Crew SC,14,Defender,,,,30,"5' 9""",160
Przemyslaw Frankowski,Chicago Fire FC,11,Midfielder,,,,25,"5' 8""",155
Liam Fraser,Toronto FC,27,Midfielder,Surrey,British Columbia,Canada,22,"6' 1""",179
Tyler Freeman,Sporting Kansas City,23,Forward,Shawnee,Kansas,United States of America,17,"5' 10""",150
Matt Freese,Philadelphia Union,1,Goalkeeper,Wayne,Pennsylvania,United States of America,22,"6' 4""",195
Stefan Frei,Seattle Sounders FC,24,Goalkeeper,Berkeley,California,United States of America,34,"6' 3""",195
Alejandro Fuenmayor,Houston Dynamo FC,2,Defender,Valencia,,Venezuela,24,"6' 0"""
Gilbert Fuentes,San Jose Earthquakes,35,Midfielder,Tracy,California,United States of America,18,"5' 6""",140
Raymon Gaddis,Philadelphia Union,28,Defender,Indianapolis,Indiana,United States of America,30,"5' 9""",151
Tony Gallacher,Toronto FC,6,Defender,Glasgow,,Scotland,21,"5' 10""",156
Jon Gallagher,Atlanta United FC,26,Forward,Dundalk,,Ireland,24,"5' 9""",158
Erickson Gallardo,Toronto FC,9,Midfielder,,,,24,"5' 8""",150
