Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
Pedro Gallese,Orlando City SC,1,Goalkeeper,Lima,,Peru,30,"6' 3""",
Braian Galvan,Colorado Rapids,52,Midfielder,,,,20,"5' 5""",141
Christopher Garcia,Real Salt Lake,17,Midfielder,El Paso,Texas,United States of America,17,"5' 7""",142
Boniek Garcia,Houston Dynamo FC,27,Midfielder,,,,36,"5' 9""",150
Chase Gasper,Minnesota United FC,77,Defender,Alexandria,Virginia,United States of America,24,"6' 0""",185
Carles Gil,New England Revolution,22,Midfielder,Valencia,,Spain,28,"5' 7""",145
Gaston Gimenez,Chicago Fire FC,30,Midfielder,Formosa,,Argentina,29,"6' 2""",194
Francisco Ginella,Los Angeles Football Club,8,Midfielder,Montevideo,,Uruguay,21,"5' 10""",160
Tomas Giraldo,Montreal Impact,,Midfielder,Montreal,Quebec,Canada,17,"6' 0""",163
Justen Glad,Real Salt Lake,15,Defender,Tucson,Arizona,United States of America,23,"6' 1""",160
Sam Gleadle,Minnesota United FC,,Defender,Chichester,,United Kingdom,24,"5' 10""",155
Jakob Glesnes,Philadelphia Union,5,Defender,Sotra,,Norway,26,"6' 2""",185
Erik Godoy,Vancouver Whitecaps FC,22,Defender,Buenos Aires,,Argentina,27,"6' 2""",175
Anibal Godoy,Nashville SC,20,Midfielder,Panama City,,Panama,30,"6' 0""",165
Yeimar Gomez Andrade,Seattle Sounders FC,28,Defender,Tado,,Colombia,28,"6' 2""",200
Yony Gonzalez,LA Galaxy,,Midfielder,,,,26,"6' 0""",165
Giancarlo Gonzalez,LA Galaxy,21,Defender,San Jose,,Costa Rica,32,"6' 1""",185
Omar Gonzalez,Toronto FC,44,Defender,Dallas,Texas,United States of America,32,"6' 5""",205
Leandro Gonzalez Pirez,Inter Miami CF,26,Defender,,,,28,"6' 1"""
Tayvon Gray,New York City FC,24,Defender,Bronx,New York,United States of America,18,"5' 11""",163
Jacob Greene,D.C. United,,Defender,Crofton,Maryland,United States of America,17,"5' 8""",150
Jan Gregus,Minnesota United FC,8,Midfielder,Nitra,,Slovakia,29,"6' 3""",170
Julian Gressel,D.C. United,31,Midfielder,Neustadt an der Aisch,,Germany,26,"6' 1""",185
Alejandro Guido,Los Angeles Football Club,15,Midfielder,,,,26,"5' 11""",170
Felipe Gutiérrez,Sporting Kansas City,10,Midfielder,Quintero,,Chile,30,"5' 7""",145
Brian Gutierrez,Chicago Fire FC,40,Midfielder,Burbank,Illinois,United States of America,17,"5' 10""",140
Cristian Gutierrez,Vancouver Whitecaps FC,3,Defender,Santiago,,Chile,23,"5' 11""",150
Andrew Gutman,FC Cincinnati,96,Defender,Hinsdale,Illinois,United States of America,24,"6' 0""",170
Brad Guzan,Atlanta United FC,1,Goalkeeper,,,,36,"6' 4""",209
Joseph-Claude Gyau,FC Cincinnati,36,Midfielder,Silver Spring,Maryland,United States of America,28,"5' 9""",165
Justin Haak,New York City FC,80,Midfielder,Brooklyn,New York,United States of America,19,"6' 0""",165
Luke Haakenson,Nashville SC,26,Midfielder,Maple Grove,Minnesota,United States of America,23,"5' 10""",175
Nick Hagglund,FC Cincinnati,14,Defender,Cincinnati,Ohio,United States of America,28,"6' 1""",193
Marlon Hairston,Minnesota United FC,94,Midfielder,Jackson,Mississippi,United States of America,26,"6' 0""",157
Siad Haji,San Jose Earthquakes,19,Midfielder,Manchester,New Hampshire,United States of America,21,"5' 8""",150
Michael Halliday,Orlando City SC,26,Defender,Apopka,Florida,United States of America,17,"6' 0""",158
Bill Hamid,D.C. United,24,Goalkeeper,,,,30,"6' 3""",225
Jordan Hamilton,Columbus Crew SC,17,Forward,Scarborough,Ontario,Canada,24,"6' 0""",194
Niko Hansen,Houston Dynamo FC,12,Midfielder,Sacramento,California,United States of America,26,"5' 10""",170
Wilson Harris,Sporting Kansas City,96,Forward,Los Angeles,California,United States of America,21,"5' 11""",165
Carlos Harvey,LA Galaxy,67,Midfielder,Panama City,,Panama,20,"5' 10""",165
Jordan Harvey,Los Angeles Football Club,2,Defender,Mission Viejo,California,United States of America,36,"5' 11""",170
Thomas Hasal,Vancouver Whitecaps FC,51,Goalkeeper,Saskatoon,Saskatchewan,Canada,21,"6' 3""",190
Jacori Hayes,Minnesota United FC,5,Midfielder,Bowie,Maryland,United States of America,25,"5' 7""",150
Matt Hedges,FC Dallas,24,Defender,Carmel,Indiana,United States of America,30,"6' 4""",185
Fabian Herbers,Chicago Fire FC,21,Midfielder,Ahaus,,Germany,27,"6' 0""",165
Felipe Hernandez,Sporting Kansas City,21,Midfielder,Nashville,Tennessee,United States of America,22,"5' 7""",135
Javier Hernandez,LA Galaxy,14,Forward,,,,32,"5' 9""",137
Aaron Herrera,Real Salt Lake,22,Defender,Las Cruces,New Mexico,United States of America,23,"5' 11""",160
Federico Higuain,Inter Miami CF,34,Midfielder,,,,36,"5' 8""",165
Gonzalo Higuaín,Inter Miami CF,9,Forward,,,,32,"6' 0""",181
Danny Hoesen,San Jose Earthquakes,9,Forward,Heerlen,,Netherlands,29,"6' 1""",165
Ryan Hollingshead,FC Dallas,12,Defender,Granite Bay,California,United States of America,29,"6' 1""",180
Erik Holt,Real Salt Lake,20,Defender,San Diego,California,United States of America,24,"6' 1""",185
Shandon Hopeau,Seattle Sounders FC,37,Midfielder,Kapolei,Hawaii,United States of America,22,"5' 11""",162
Matt Hundley,Colorado Rapids,29,Forward,Littleton,Colorado,United States of America,20,"5' 10""",160
Erik Hurtado,Sporting Kansas City,19,Forward,Beaverton,Oregon,United States of America,30,"5' 10""",175
Emerson Hyndman,Atlanta United FC,20,Midfielder,Dallas,Texas,United States of America,24,"5' 9""",135
Miguel Ibarra ,Seattle Sounders FC,11,Midfielder,Lancaster,California,United States of America,30,"5' 6""",145
Sebastien Ibeagha,New York City FC,33,Defender,Missouri City,Texas,United States of America,28,"6' 2""",187
Milan Iloski,Real Salt Lake,23,Forward,Escondido,California,United States of America,21,"5' 10""",155
Emiliano Insua,LA Galaxy,3,Defender,Buenos Aires,,Argentina,31,"5' 11""",174
Clint Irwin,Colorado Rapids,1,Goalkeeper,,,,31,"6' 3""",195
Aljaz Ivacic,Portland Timbers,31,Goalkeeper,,,Ljubljana,26,"6' 2""",180,** flag to manually check these geos
Niki Jackson,Colorado Rapids,12,Forward,Scottsdale,Arizona,United States of America,25,"6' 1""",175
Anthony Jackson-Hamel,Montreal Impact,11,Forward,,,,27,"6' 1""",180
Adam Jahn,Atlanta United FC,14,Forward,El Macero,California,United States of America,29,"6' 3""",185
Dejan Jakovic,Los Angeles Football Club,5,Defender,,,,35,"6' 2""",186
Robin Jansson,Orlando City SC,6,Defender,Trollhattan,,Sweden,29,"6' 1"""
Franco Jara,FC Dallas,29,Forward,Cordoba,,Argentina,32,"5' 11""",154
Andres Jasson,New York City FC,,Forward,Greenwich,Connecticut,United States of America,18,"5' 9""",155
David Jensen,New York Red Bulls,1,Goalkeeper,Hillerød,,Denmark,28,"6' 5""",205
Hector Jimenez,Columbus Crew SC,16,Midfielder,,,,32,"5' 9""",140
Sean Johnson,New York City FC,1,Goalkeeper,Lilburn,Georgia,United States of America,31,"6' 3""",217
Alistair Johnston,Nashville SC,12,Defender/Midfielder,Aurora,Ontario,Canada,22,"5' 11""",170
Derrick Jones,Nashville SC,21,Midfielder,Philadelphia,Pennsylvania,United States of America,23,"6' 3""",
Alvin Jones,Real Salt Lake,2,Defender,Port of Spain,,Trinidad and Tobago,26,"6' 0""",170
Joevin Jones,Seattle Sounders FC,33,Defender/Midfielder,Carenage,,Trinidad & Tobago,29,"5' 11""",160
DeJuan Jones,New England Revolution,24,Midfielder,Lansing,Michigan,United States of America,23,"5' 9""",165
Mathias Jorgensen,New York Red Bulls,25,Forward,Hundested,,Denmark,20,"6' 0""",
Florian Jungwirth,San Jose Earthquakes,23,Defender,Grafelfing,,Germany,31,"5' 11""",174
Sam Junqua,Houston Dynamo FC,29,Defender,Saratoga,California,United States of America,24,"6' 0""",170
Brent Kallman,Minnesota United FC,14,Defender,Omaha,Nebraska,United States of America,30,"6' 2""",190
Ola Kamara,D.C. United,9,Forward,Oslo,,Norway,31,"6' 0""",181
Kei Kamara,Minnesota United FC,16,Forward,Kenema,,Sierra Leone,36,"6' 3""",190
Alec Kann,Atlanta United FC,25,Goalkeeper,,,,30,"6' 4""",190
Johan Kappelhof,Chicago Fire FC,4,Defender,Amsterdam,,Netherlands,30,"5' 11""",165
Guram Kashia,San Jose Earthquakes,37,Defender,Tblisi,Georgia,United States of America,33,"6' 1""",172
Mark-Anthony Kaye,Los Angeles Football Club,14,Midfielder,,,,26,"6' 2""",154
Aboubacar Keita,Columbus Crew SC,30,Defender,Columbus,Ohio,United States of America,20,"6' 2""",180
Jeremy Kelly,Colorado Rapids,18,Defender,Chapel Hill,North Carolina,United States of America,23,"5' 10""",145
Jon Kempin,Columbus Crew SC,24,Goalkeeper,,,,27,"6' 1""",170
Henry Kessler,New England Revolution,4,Defender,New York,New York,United States of America,22,"6' 4""",185
Jasser Khmiri,Vancouver Whitecaps FC,20,Defender,Tunis,,Tunisia,23,"6' 4""",187
Jerome Kiesewetter,Inter Miami CF,17,Forward,,,,27,"6' 0""",180
Gadi Kinda,Sporting Kansas City,17,Midfielder,Ashdod,,Israel,26,"5' 8""",145
Perry Kitchen,LA Galaxy,2,Midfielder,Indianapolis,Indiana,United States of America,28,"6' 0""",160
Mustafa Kizza,Montreal Impact,,Defender,,,,21,"6' 1"""
Jonathan Klinsmann,LA Galaxy,33,Goalkeeper,,,,23,"6' 4""",164
Sacha Kljestan,LA Galaxy,16,Midfielder,Huntington Beach,California,United States of America,35,"6' 1""",155
Brad Knighton,New England Revolution,18,Goalkeeper,Richmond,Virginia,United States of America,35,"6' 2""",180
Kai Koreniuk,LA Galaxy,28,Midfielder,Daytona Beach,Florida,United States of America,22,"6' 0""",175
Franko Kovacevic,FC Cincinnati,,Forward,Križevci,,Croatia,21,"6' 1""",175
Damir Kreilach,Real Salt Lake,8,Midfielder,Vukovar,,Croatia,31,"6' 1""",174
Bojan Krkic,Montreal Impact,9,Midfielder,,,,30,"5' 7""",150
Kenneth Kronholm,Chicago Fire FC,18,Goalkeeper,,,,35,"6' 3""",183
Yuya Kubo,FC Cincinnati,7,Forward,Yamaguchi,,Japan,26,"5' 10""",160
Lagos Kunga,Atlanta United FC,23,Midfielder/Forward,Clarkson,Georgia,United States of America,22,"5' 8""",154
Matt LaGrassa,Nashville SC,22,Midfielder,Elk Grove,California,United States of America,27,"6' 0""",174
Matt Lampson,Columbus Crew SC,28,Goalkeeper,Hilliard,Ohio,United States of America,31,"6' 3""",200
Cameron Lancaster,Nashville SC,17,Forward,London,,England,28,"6' 0""",192
Foster Langsdorf,Minnesota United FC,,Forward,Vancouver,Washington,United States of America,24,"5' 10""",165
Lassi Lappalainen,Montreal Impact,21,Midfielder,,,,22,"6' 0""",175
Jeff Larentowicz,Atlanta United FC,18,Midfielder/Defender,West Chester,Pennsylvania,United States of America,37,"6' 1""",175
Richie Laryea,Toronto FC,22,Defender,Toronto,Ontario,Canada,25,"5' 9""",150
Ariel Lassiter,Houston Dynamo FC,11,Forward,Temecula,California,United States of America,26,"5' 10""",155
Randall Leal,Nashville SC,8,Midfielder,San Jose,,Costa Rica,23,"5' 7""",145
Kelvin Leerdam,Seattle Sounders FC,18,Defender,Utrecht,,Netherlands,30,"5' 10""",154
Chris Lema,New York Red Bulls,80,Midfielder,Ridgefield,New Jersey,United States of America,24,"5' 10""",160
Nico Lemoine,Houston Dynamo FC,17,Midfielder,Livermore,California,United States of America,20,"5' 8""",140
Brooks Lennon,Atlanta United FC,11,Defender,Paradise Valley,Arizona,United States of America,23,"5' 10""",155
Tony Leone,Los Angeles Football Club,28,Defender,,,,16,"6' 0""",175
Jonathan Lewis,Colorado Rapids,7,Midfielder,Plantation,Florida,United States of America,23,"5' 7""",150
Danny Leyva,Seattle Sounders FC,75,Midfielder,Las Vegas,Nevada,United States of America,17,"5' 10""",140
Grant Lillard,Columbus Crew SC,23,Defender,Hinsdale,Illinois,United States of America,24,"6' 4""",195
Nick Lima,San Jose Earthquakes,24,Defender,Castro Valley,California,United States of America,26,"5' 9""",177
Jaylin Lindsey,Sporting Kansas City,26,Defender,Charlotte,North Carolina,United States of America,20,"5' 8""",155
Sebastian Lletget,LA Galaxy,17,Midfielder,,,,28,"5' 10""",165
Jurgen Locadia,FC Cincinnati,10,Forward,Emmen,,Netherlands,27,"6' 2""",174
Robin Lod,Minnesota United FC,16,Midfielder,Helsinki,,Finland,27,"5' 11""",168
Nicolás Lodeiro,Seattle Sounders FC,10,Midfielder,,,,31,"5' 7""",152
David Loera,Orlando City SC,30,Midfielder,Orlando,Florida,United States of America,22,"5' 5""",143
Aaron Long,New York Red Bulls,33,Defender,Oak Hills,California,United States of America,28,"6' 1""",175
Eric Lopez,LA Galaxy,12,Goalkeeper,Westminster,California,United States of America,21,"6' 0""",165
Marcos Lopez,San Jose Earthquakes,27,Defender,,,,21,"5' 9""",148
Marvin Loria,Portland Timbers,44,Midfielder,,,,23,"5' 10""",170
Daniel Lovitz,Nashville SC,2,Defender,Wyndmoor,Pennsylvania,United States of America,29,"5' 10""",170
Adam Lundkvist,Houston Dynamo FC,3,Defender,,,Nyköping,26,"5' 9""",143,** flag to manually check these geos
Ben Lundt,FC Cincinnati,39,Goalkeeper,Berlin,,Germany,25,"6' 6""",220
Charlie Lyon,Portland Timbers,,Goalkeeper,St. Charles,Illinois,United States of America,28,"6' 2""",215
Larrys Mabiala,Portland Timbers,33,Defender,,,,33,"6' 2""",185
Emanuel Maciel,Montreal Impact,25,Midfielder,,,,23,"5' 11""",
Gary Mackay-Steven,New York City FC,17,Midfielder,Thurso,,Scotland,30,"5' 9""",154
Zac MacMath,Real Salt Lake,18,Goalkeeper,St. Petersburg,Florida,United States of America,29,"6' 2""",190
Jack Maher,Nashville SC,18,Defender,Caseyville,Illinois,United States of America,21,"6' 3""",175
Christian Makoun,Inter Miami CF,4,Defender/Midfielder,,,,20,"5' 11""",154
Michael Mancienne,New England Revolution,13,Defender,Feltham,,England,32,"6' 1""",190
Kekuta Manneh,New England Revolution,31,Forward,Madiba Kunda,,Gambia,25,"5' 9""",140
Mauro Manotas,Houston Dynamo FC,9,Forward,,,,25,"6' 0""",
JT Marcinkowski,San Jose Earthquakes,18,Goalkeeper,Alamo,California,United States of America,23,"6' 1""",185
Marko Maric,Houston Dynamo FC,1,Goalkeeper,Vienna,,Austria,24,"6' 3""",195
Paul Marie,San Jose Earthquakes,33,Defender,Saint-Aubin-Des-Bois,,France,25,"5' 8""",142
Jahkeele Marshall-Rutty,Toronto FC,15,Midfielder,,,,16,"5' 7""",141
Tomas Martinez,Houston Dynamo FC,10,Midfielder,Beccar,,Argentina,25,"5' 8""",145
Jose Andres Martinez,Philadelphia Union,8,Midfielder,Maracaibo,,Venezuela,26,"5' 9""",152
Josef Martinez,Atlanta United FC,7,Forward,,,,27,"5' 6""",
Douglas Martinez,Real Salt Lake,12,Forward,Olanchito,,Honduras,23,"6' 0""",132
Felipe,D.C. United,18,Midfielder,,,,30,"5' 9""",150
Luis Martins,Sporting Kansas City,36,Defender,Lamego,,Portugal,28,"5' 9""",150
Ronald Matarrita,New York City FC,22,Defender,Alajuela,,Costa Rica,26,"5' 9""",154
Blaise Matuidi,Inter Miami CF,8,Midfielder,,,,33,"5' 9""",163
Jimmy Maurer,FC Dallas,14,Goalkeeper,Lawrenceville,Georgia,United States of America,32,"6' 2""",185
Chris Mavinga,Toronto FC,23,Defender,Meaux,,France,29,"6' 1""",172
Olivier Mbaizo,Philadelphia Union,15,Defender,Douala,,Cameroon,23,"5' 10""",155
John McCarthy,Inter Miami CF,1,Goalkeeper,Cinnaminson,New Jersey,United States of America,28,"6' 3""",180
Dax McCarty,Nashville SC,6,Midfielder,Winter Park,Florida,United States of America,33,"5' 9""",150
Erik McCue,Houston Dynamo FC,28,Defender,Onsala,,Sweden,19,"6' 3""",185
Zac McGraw,Portland Timbers,85,Defender,Torrance,California,United States of America,23,"6' 4""",205
Kendall McIntosh,New York Red Bulls,40,Goalkeeper,Santa Rosa,California,United States of America,26,"6' 0""",175
Mark McKenzie,Philadelphia Union,4,Defender,Bear,Delaware,United States of America,21,"5' 11""",185
Thomas McNamara,New England Revolution,26,Midfielder,West Nyack,New York,United States of America,29,"5' 9""",170
Ryan Meara,New York Red Bulls,18,Goalkeeper,Crestwood,New York,United States of America,30,"6' 4""",185
Jesus Medina,New York City FC,19,Midfielder,,,,23,"5' 10""",154
Alvaro Medran,Chicago Fire FC,10,Midfielder,Dos Torres,,Spain,26,"5' 8""",156
Jimmy Medranda ,Seattle Sounders FC,,Defender/Midfielder,Mosquera,,Colombia,26,"5' 5""",150
Haris Medunjanin,FC Cincinnati,6,Midfielder,,,,35,"6' 2""",183
Phelipe Megiolaro,FC Dallas,,Goalkeeper,Campinas,,Brazil,21,"6' 1""",181
Tim Melia,Sporting Kansas City,29,Goalkeeper,East Islip,New York,United States of America,34,"6' 1""",190
Sebastian Mendez,Orlando City SC,8,Midfielder,Mira,,Ecuador,23,"5' 11"""
Jonathan Mensah,Columbus Crew SC,4,Defender,Prampram,,Ghana,30,"6' 2""",183
Justin Meram,Real Salt Lake,9,Midfielder,,,,31,"6' 1""",165
Bryan Meredith,Vancouver Whitecaps FC,1,Goalkeeper,Scotch Plains,New Jersey,United States of America,31,"6' 2""",195
Romain Metanire,Minnesota United FC,19,Defender,Metz,,France,30,"5' 10""",159
Patrick Metcalfe,Vancouver Whitecaps FC,32,Midfielder,Richmond,British Columbia,Canada,22,"6' 0""",175
Fernando Meza,Atlanta United FC,6,Defender,,,,30,"5' 9""",
Nicolas Mezquida,Colorado Rapids,20,Midfielder,Montevideo,,Uruguay,28,"5' 6""",150
Benji Michel,Orlando City SC,19,Forward,Orlando,Florida,United States of America,23,"5' 10""",165
Djordje Mihailovic,Chicago Fire FC,14,Midfielder,Lemont,Illinois,United States of America,22,"5' 10""",153
David Milinkovic,Vancouver Whitecaps FC,7,Midfielder,Antibes,,France,26,"5' 10""",175
Kamal Miller,Orlando City SC,27,Defender,Pickering,Ontario,Canada,23,"6' 0""",185
Tyler Miller,Minnesota United FC,1,Goalkeeper,Woodbury,New Jersey,United States of America,27,"6' 4""",195
Eric Miller,Nashville SC,15,Defender,Woodbury,Minnesota,United States of America,27,"6' 1""",175
Ben Mines,New York Red Bulls,17,Midfielder,Ridgefield,Connecticut,United States of America,20,"5' 9""",140
Alexandru Mitrita,New York City FC,28,Midfielder,Craiova,,Romania,25,"5' 5""",145
Youness Mokhtar,Columbus Crew SC,34,Midfielder,Utrecht,,Netherlands,29,"5' 10""",165
Kamohelo Mokotjo ,FC Cincinnati,15,Midfielder,Odendaalsrus,,South Africa,29,"5' 7""",160
Kevin Molino,Minnesota United FC,7,Midfielder,,,,30,"5' 11""",145
Alex Monis,Chicago Fire FC,38,Forward,Naperville,Illinois,United States of America,17,"5' 6""",133
Jamiro Monteiro,Philadelphia Union,10,Midfielder,Rotterdam,,Netherlands,27,"5' 8""",137
Fredy Montero,Vancouver Whitecaps FC,12,Forward,Barranquilla,,Colombia,33,"5' 9""",165
Callum Montgomery,FC Dallas,25,Defender,Victoria,British Columbia,Canada,23,"6' 3""",185
Drew Moor,Colorado Rapids,3,Defender,Dallas,Texas,United States of America,36,"6' 0""",165
Brendan Moore,Atlanta United FC,13,Goalkeeper,Roswell,Georgia,United States of America,28,"6' 3"""
Felipe Mora,Portland Timbers,9,Forward,Santiago,,Chile,27,"5' 9""",150
Joseph Mora,D.C. United,28,Defender,,,,27,"5' 9""",132
Maximiliano Moralez,New York City FC,10,Midfielder,Granadero Baigorria,,Argentina,33,"5' 3""",115
Marcelino Moreno,Atlanta United FC,10,Midfielder,,,,25,"5' 6""",
Junior Moreno,D.C. United,5,Midfielder,,,,27,"5' 9""",154
Lewis Morgan,Inter Miami CF,7,Midfielder,Greenock,,Scotland,24,"5' 10""",163
Ashtone Morgan,Real Salt Lake,3,Defender,Toronto,Ontario,Canada,29,"5' 9""",156
Jordan Morris,Seattle Sounders FC,13,Forward,Mercer Island,Washington,United States of America,26,"5' 11""",185
Aidan Morris,Columbus Crew SC,21,Midfielder,Fort Lauderdale,Florida,United States of America,19,"5' 10""",158
Justin Morrow,Toronto FC,2,Defender,,,,33,"5' 9""",153
Santiago Mosquera,FC Dallas,11,Midfielder,Buenaventura,,Colombia,25,"5' 6""",185
Joao Moutinho,Orlando City SC,4,Defender,Lisbon,,Portugal,22,"6' 0""",156
Chris Mueller,Orlando City SC,9,Midfielder,Schaumburg,Illinois,United States of America,24,"5' 9""",169
Hany Mukhtar,Nashville SC,10,Midfielder,Berlin,,Germany,25,"5' 8""",156
Georges Mukumbilwa,Vancouver Whitecaps FC,56,Midfielder/Defender,Winnipeg,Manitoba,Canada,21,"5' 11""",160
Luke Mulholland,Real Salt Lake,19,Midfielder,Preston,,England,32,"5' 9""",150
Patrick Mullins,Toronto FC,13,Forward,New Orleans,Louisiana,United States of America,28,"6' 1""",175
Jake Mulraney,Atlanta United FC,23,Midfielder,,,,24,"5' 8""",
Eddie Munjoma,FC Dallas,27,Defender,Dallas,Texas,United States of America,22,"5' 10""",155
Jesus David Murillo,Los Angeles Football Club,,Defender,,,,26,"6' 0""",160
James Musa,Minnesota United FC,41,Midfielder,Plymouth,,United Kingdom,28,"6' 0""",170
Trey Muse,Seattle Sounders FC,1,Goalkeeper,Louisville,Kentucky,United States of America,21,"6' 4""",195
Danny Musovski,Los Angeles Football Club,16,Forward,Henderson,Nevada,United States of America,25,"6' 0""",160
Alex Muyl,Nashville SC,29,Midfielder,New York,New York,United States of America,25,"5' 11""",175
Darlington Nagbe,Columbus Crew SC,6,Midfielder,Lakewood,Ohio,United States of America,30,"5' 9""",165
Andy Najar,Los Angeles Football Club,24,Defender,,,,27,"5' 7""",150
Younes Namli,Colorado Rapids,21,Midfielder,,,,26,"5' 11""",154
Miguel Angel Navarro,Chicago Fire FC,6,Defender,Maracaibo,,Venezuela,21,"5' 8""",146
Miguel Nazarit,Nashville SC,5,Defender,,,Cali,23,"6' 1""",172,** flag to manually check these geos
Jalen Neal,LA Galaxy,,Forward,,,,0,
Dylan Nealis,Inter Miami CF,18,Defender,Massapequa,New York,United States of America,22,"5' 11""",175
Sean Nealis,New York Red Bulls,15,Defender,Massapequa,New York,United States of America,23,"6' 4""",185
Michael Nelson,Houston Dynamo FC,26,Goalkeeper,Houston,Texas,United States of America,25,"6' 4""",180
John Nelson,FC Dallas,26,Defender,Medina,Ohio,United States of America,22,"5' 9""",160
Jayden Nelson,Toronto FC,80,Midfielder,,,,18,"5' 7""",145
Krisztian Nemeth,Columbus Crew SC,,Forward,,,,31,"5' 11""",165
Jake Nerwinski,Vancouver Whitecaps FC,28,Defender,Lawrenceville,New Jersey,United States of America,26,"6' 0""",175
Michee Ngalina,Philadelphia Union,20,Forward,,,Kinshasa,20,"5' 11""",150,** flag to manually check these geos
Lee Nguyen,New England Revolution,42,Midfielder,,,,34,"5' 8""",150
Jaroslaw Niezgoda,Portland Timbers,11,Forward,Poniatowa,,Poland,25,"6' 1""",170
David Norman Jr.,Inter Miami CF,15,Midfielder,Coquitlam,British Columbia,Canada,22,"6' 2""",180
Moses Nyeman,D.C. United,27,Midfielder,,,,17,"5' 5""",135
Shane O'Neill,Seattle Sounders FC,27,Defender,,,,27,"6' 2""",190
Alfonso Ocampo-Chavez,Seattle Sounders FC,87,Forward,Merced,California,United States of America,18,"5' 10""",142
Emmanuel Ochoa,San Jose Earthquakes,41,Goalkeeper,Salinas,California,United States of America,15,"6' 2""",150
